Country,Issuer Name,Series,Bond_Type,Maturity,TTM,Yield,Swap_Rate,Spread_bps,Coupon,Amount
Italie,Italy Buoni Poliennali Del Tesoro,21Y,Nominal,2040-03-01,15.775496235455167,3.8347491966681524,3.031958932238193,80.27902644299596,3.1,14219900000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2029-07-01,5.108829568788501,2.5188168226794483,2.4623798767967147,5.6436945882733625,3.35,19100000000.0
Italie,Italy Buoni Poliennali Del Tesoro,7Y,Nominal,2031-02-15,6.7351129363449695,2.8005140921322003,2.585398357289528,21.511573484267245,3.5,19000000000.0
Italie,Italy Buoni Poliennali Del Tesoro,2Y,Nominal,2026-01-28,1.6865160848733745,2.032923925680954,2.1729212867898697,-13.99973611089158,3.2,14633000000.0
Italie,Italy Buoni Poliennali Del Tesoro,16Y,Nominal,2037-03-01,12.774811772758385,3.596237033191807,2.9334428473648186,66.27941858269884,0.95,18032000000.0
Italie,Italy Buoni Poliennali Del Tesoro,7Y,Nominal,2029-06-15,5.065023956194388,2.483320981511139,2.459006844626968,2.4314136884171056,2.8,16800000000.0
Italie,Italy Buoni Poliennali Del Tesoro,31Y,Nominal,2046-09-01,22.27789185489391,4.129316344041523,3.1180227241615333,101.12936198799893,3.25,18904000000.0
Italie,Italy Buoni Poliennali Del Tesoro,4Y,Nominal,2029-01-15,4.65160848733744,2.4425241018013466,2.4254318959616703,1.70922058396763,2.35,12870000000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2026-08-01,2.193018480492813,1.9306016457635966,2.214406570841889,-28.38049250782926,0.0,16705701000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2026-12-01,2.5270362765229293,2.000733791960063,2.2427980835044488,-24.20642915443856,1.25,19776843000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2026-04-01,1.8590006844626967,1.9541488244772538,2.1867200547570156,-23.257123027976178,0.0,17540309000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2027-12-01,3.5263518138261465,2.2082807979081354,2.329845311430527,-12.15645135223915,2.65,20600000000.0
Italie,Italy Buoni Poliennali Del Tesoro,31Y,Nominal,2034-08-01,10.193018480492814,3.2920432537494992,2.8096160164271047,48.242723732239455,5.0,28290921000.0
