"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"HERIM","NSS OLS",0,0,0.168725,0.153608333333333,12
"HERIM","NSS WLS",0,0,0.607933333333333,0.08605,12
"HNDA","Cubic Spline",0.0374666666666667,0.0616916666666667,0.512558333333333,3.77760833333333,12
"HNDA","NSS ECB",0.0421833333333333,0.0812916666666667,0.436283333333333,0.747325,12
"HNDA","NSS OLS",0.04425,0.082525,0.369683333333333,1.42019166666667,12
"HNDA","NSS WLS",0.0423916666666667,0.0834833333333333,0.422708333333333,0.454333333333333,12
"HOLNSW","NSS ECB",0,0,5.41216666666667,0.06245,12
"HOLNSW","NSS OLS",3.33333333333333e-05,0.000275,1.06346666666667,0.115083333333333,12
"HOLNSW","NSS WLS",5e-05,0.000308333333333333,2.99960833333333,0.0308,12
"HTHROW","NSS ECB",0,0,4.0919,0.167991666666667,12
"HTHROW","NSS OLS",0,8.33333333333333e-05,0.738425,0.163908333333333,12
"HTHROW","NSS WLS",0,8.33333333333333e-05,0.726708333333333,0.103766666666667,12
"HYNMTR","NSS ECB",0,0,0.431641666666667,0.0614916666666667,12
"HYNMTR","NSS OLS",0,6.66666666666667e-05,0.194841666666667,0.275933333333333,12
"HYNMTR","NSS WLS",0,7.5e-05,1.60135,0.097,12
"IBESM","Cubic Spline",0.136716666666667,1.2485,0,3.15321666666667,12
"IBESM","NSS ECB",0.0780333333333333,0.94325,339.001133333333,1.223,12
"IBESM","NSS OLS",0.190983333333333,1.06926666666667,199.657258333333,0.777741666666667,12
"IBESM","NSS WLS",0.129708333333333,1.18323333333333,0.0501833333333333,4.791675,12
"IBM","Cubic Spline",0.061325,0.195966666666667,0.289308333333333,1.6144,12
"IBM","NSS ECB",0.0643083333333333,0.15445,223.664766666667,0.781525,12
"IBM","NSS OLS",0.0700583333333333,0.181991666666667,0.0855833333333333,1.04874166666667,12
"IBM","NSS WLS",0.066075,0.163208333333333,0.140833333333333,0.195283333333333,12
"IGIM","Cubic Spline",0.01795,0.0711416666666667,0.102941666666667,3.56054166666667,12
"IGIM","NSS ECB",0.0174916666666667,0.0776333333333333,1.107,1.013,12
"IGIM","NSS OLS",0.021625,0.0913916666666667,19.72235,1.95133333333333,12
"IGIM","NSS WLS",0.0209333333333333,0.0973416666666667,0.380258333333333,0.318283333333333,12
"INVSA","NSS ECB",0,0,5.20691666666667,1.8068,12
"INVSA","NSS OLS",0.0117833333333333,0.075275,169.44325,7.29015,12
"INVSA","NSS WLS",0,0.000116666666666667,56.7748666666667,0.42655,12
"JABHOL","Cubic Spline",0.0672916666666667,0.273833333333333,0.139675,1.97604166666667,12
"JABHOL","NSS ECB",0.0652416666666667,0.344191666666667,156.519416666667,0.402566666666667,12
"JABHOL","NSS OLS",0.0657166666666667,0.343775,1481.00695833333,0.365875,12
"JABHOL","NSS WLS",0.0689083333333333,0.391541666666667,332.5855,0.140533333333333,12
"KO","Cubic Spline",0.018475,0.097,0.0909916666666667,1.3053,12
"KO","NSS ECB",0.0215333333333333,0.136066666666667,8.10031666666667,0.422508333333333,12
"KO","NSS OLS",0.0239166666666667,0.153091666666667,2.04535833333333,0.2024,12
"KO","NSS WLS",0.0232083333333333,0.149016666666667,0.033125,0.576525,12
"LIN","NSS ECB",0,0,1.74156363636364,0.122163636363636,11
"LIN","NSS OLS",1.81818181818182e-05,0.000109090909090909,0.9687,0.373745454545455,11
"LIN","NSS WLS",0,0.000227272727272727,1.46047272727273,0.0925,11
"MBGGR","Cubic Spline",0.0642416666666667,0.346691666666667,0.104283333333333,1.87681666666667,12
"MBGGR","NSS ECB",0.0657083333333333,0.348933333333333,0.220975,0.46995,12
"MBGGR","NSS OLS",0.0718666666666667,0.349691666666667,0.112641666666667,0.440291666666667,12
"MBGGR","NSS WLS",0.0663,0.347041666666667,0.130683333333333,0.507991666666667,12
"MCD","Cubic Spline",0.008125,0.020925,1.070025,1.70381666666667,12
"MCD","NSS ECB",0.00690833333333333,0.0243916666666667,1062.410075,0.574291666666667,12
"MCD","NSS OLS",0.0130416666666667,0.0426416666666667,306.582066666667,14.9616333333333,12
"MCD","NSS WLS",0.01175,0.0394333333333333,276.376575,0.602316666666667,12
"MMM","NSS ECB",0,0,0.283508333333333,0.0532833333333333,12
"MMM","NSS OLS",0,4.16666666666667e-05,0.465058333333333,0.087775,12
"MMM","NSS WLS",0,6.66666666666667e-05,1.30630833333333,0.06185,12
"NFLX","NSS ECB",0.00198333333333333,0.00691666666666667,34.003725,0.0636083333333333,12
"NFLX","NSS OLS",0.003975,0.0130583333333333,4.14125833333333,1.53735,12
"NFLX","NSS WLS",0.00198333333333333,0.00691666666666667,14.72085,0.269208333333333,12
"NGGLN","Cubic Spline",0.01128,0.21031,3.73968,10.49535,10
"NGGLN","NSS ECB",0.122625,1.984175,285.084791666667,0.960275,12
"NGGLN","NSS OLS",0.14205,1.39671666666667,63320.25775,2.40835,12
"NGGLN","NSS WLS",0.10565,1.64658333333333,5791.30025,1.949675,12
"NOVNVX","NSS ECB",0,0,0.274925,0.0159666666666667,12
"NOVNVX","NSS OLS",0,0,0.0413,0.0694666666666667,12
"NOVNVX","NSS WLS",0,0,0.137775,0.0363416666666667,12
"NOVOB","NSS ECB",0,0,0.0681333333333333,0.00440833333333333,12
"NOVOB","NSS OLS",0,0,0.00481666666666667,0.0447666666666667,12
"NOVOB","NSS WLS",0,0,0.0469083333333333,0.0398333333333333,12
"NTT","NSS ECB",0.00366666666666667,0.004475,0.00555833333333333,0.000591666666666667,12
"NTT","NSS OLS",0.00366666666666667,0.004475,0.000883333333333333,0.0114583333333333,12
"NTT","NSS WLS",0.00366666666666667,0.004475,0.00645,0.00538333333333333,12
"OMVAV","Cubic Spline",0.0286166666666667,0.16515,0.474433333333333,3.19890833333333,12
"OMVAV","NSS ECB",0.0259166666666667,0.112758333333333,4.17989166666667,1.8566,12
"OMVAV","NSS OLS",0.0463166666666667,0.242033333333333,44.7635166666667,3.32225833333333,12
"OMVAV","NSS WLS",0.0477833333333333,0.2796,17.8168916666667,3.5847,12
"ORAFP","NSS ECB",0,0,1.12581666666667,0.919158333333333,12
